serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DA62UGCOV,2016-04-27T00:00:00.000,EMILIO'S DISCOUNT,99,A,1,ROUTINE INSPECTION,EE0000724,5402 AVALON BLVD,LOS ANGELES,FA0008704,CA,90011-5114,OW0101083,"ORDUNA, EMILIO","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,EMILIO'S DISCOUNT,ACTIVE,PR0035393
DA06IKZZN,2015-09-03T00:00:00.000,HUIJU'S CLUB DOLSAN,91,A,1,ROUTINE INSPECTION,EE0000884,976 S WESTERN AVE,LOS ANGELES,FA0144654,CA,90006-1007,OW0107441,"HUIJU'S CLUB DOLSAN, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,HUIJU'S CLUB DOLSAN,ACTIVE,PR0130743
DAE01N9EL,2016-07-07T00:00:00.000,CAFE AMERICANO,91,A,1,ROUTINE INSPECTION,EE0000699,4003 WILSHIRE BLVD,LOS ANGELES,FA0177009,CA,90010,OW0182989,ANTHONY KIHYOUNG KIM,RESTAURANT (0-30) SEATS MODERATE RISK,1631,CAFE AMERICANO,ACTIVE,PR0169950
DAYKBGNNN,2016-12-07T00:00:00.000,RAFFALLO'S PIZZA - FOUNTAIN,93,A,1,ROUTINE INSPECTION,EE0000893,4874 SANTA MONICA BLVD,LOS ANGELES,FA0241835,CA,90029,OW0237629,ELTON ISRAEL GODINEZ,RESTAURANT (0-30) SEATS HIGH RISK,1632,RAFFALLO'S PIZZA - FOUNTAIN,ACTIVE,PR0189963
DA90ZIJAQ,2018-06-20T00:00:00.000,MENCHIE'S FROZEN YOGURT,93,A,1,ROUTINE INSPECTION,EE0000799,1415 E GAGE AVE,LOS ANGELES,FA0180136,CA,90001-1771,OW0185595,LDDF LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,MENCHIE'S FROZEN YOGURT,ACTIVE,PR0173869
DANBDTLDO,2017-01-26T00:00:00.000,FIRST FLOOR BAR,93,A,1,ROUTINE INSPECTION,EE0000721,538 S FLOWER ST,LOS ANGELES,FA0062082,CA,90071,OW0005850,CALIFORNIA CLUB INC.,RESTAURANT (0-30) SEATS LOW RISK,1630,FIRST FLOOR BAR,ACTIVE,PR0036965
DAP0MTBKZ,2018-01-09T00:00:00.000,MONTANA MEAT & DELI INC,92,A,1,ROUTINE INSPECTION,EE0000869,355 S WESTERN AVE,LOS ANGELES,FA0151582,CA,90020,OW0117283,MONTANA MEAT & DELI INC,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1612,MONTANA MEAT & DELI INC,ACTIVE,PR0137943
DAC7TIOD1,2017-09-06T00:00:00.000,LILLY'S LARCHMONT CAFE,93,A,1,ROUTINE INSPECTION,EE0000828,5210 BEVERLY BLVD,LOS ANGELES,FA0165431,CA,90004-3701,OW0128692,LILLY'S LARCHMONT CAFE,RESTAURANT (31-60) SEATS HIGH RISK,1635,LILLY'S LARCHMONT CAFE,ACTIVE,PR0153754
DAXCRY7GZ,2017-03-30T00:00:00.000,CARL'S JR,97,A,1,ROUTINE INSPECTION,EE0000531,3500 WILSHIRE BLVD,LOS ANGELES,FA0166874,CA,90010,OW0129962,ATJ&B LLC,RESTAURANT (61-150) SEATS MODERATE RISK,1637,CARL'S JR,ACTIVE,PR0157207
DAQGABR0C,2016-08-30T00:00:00.000,COOLEY'S BURGER SHACK,92,A,1,ROUTINE INSPECTION,EE0000006,2726 W VERNON AVE,LOS ANGELES,FA0180751,CA,90008,OW0186094,WIGLEY INDUSTRIES LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,COOLEY'S BURGER SHACK,INACTIVE,PR0174553
DATH9BXAA,2016-07-20T00:00:00.000,PHILLY STEAK DEPOT,91,A,1,ROUTINE INSPECTION,EE0000828,6254 SANTA MONICA BLVD,LOS ANGELES,FA0224975,CA,90038,OW0229441,SOO BUM CHAE,RESTAURANT (0-30) SEATS HIGH RISK,1632,PHILLY STEAK DEPOT,INACTIVE,PR0180271
DAW4VMUEJ,2017-06-27T00:00:00.000,ISLAND PACIFIC SEAFOOD MKT,90,A,1,ROUTINE INSPECTION,EE0001003,229 S VERMONT AVE,LOS ANGELES,FA0029512,CA,90004,OW0037600,"VERMONT SEAFOOD MARKET, INC.","FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1612,ISLAND PACIFIC MEAT DEPT.,INACTIVE,PR0024610
DAXDEYI8S,2016-09-15T00:00:00.000,UNDERGRIND CAFE,97,A,1,ROUTINE INSPECTION,EE0000727,2713 S ROBERTSON BLVD,LOS ANGELES,FA0165947,CA,90034,OW0129171,BLACK PEPPERCORN LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,UNDERGRIND CAFE,ACTIVE,PR0156136
DAQ9DOPB2,2015-12-10T00:00:00.000,IPIC THEATER,90,A,1,ROUTINE INSPECTION,EE0000924,10840 WILSHIRE BLVD,LOS ANGELES,FA0160043,CA,90024,OW0124433,"IPIC-GOLD CLASS ENT., LLC",RESTAURANT (151 + ) SEATS HIGH RISK,1641,MEZZANINE KITCHEN,ACTIVE,PR0148126
DA5AXN8FX,2015-08-10T00:00:00.000,FOUR CAFE,91,A,1,ROUTINE INSPECTION,EE0000746,2122 1/2 COLORADO BLVD,LOS ANGELES,FA0023628,CA,90041,OW0012220,FOUR CAFE LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,FOUR CAFE,ACTIVE,PR0000127
DATV1ISIK,2017-09-05T00:00:00.000,YUKI SUSHI,91,A,1,ROUTINE INSPECTION,EE0000835,7131 W SUNSET BLVD # B,LOS ANGELES,FA0245860,CA,90046,OW0240833,"KIM'S K FOOD, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,YUKI SUSHI,INACTIVE,PR0194245
DAO472QXZ,2018-03-01T00:00:00.000,NINO'S MARKET,92,A,1,ROUTINE INSPECTION,EE0001026,5122 S AVALON BLVD,LOS ANGELES,FA0042515,CA,90011,OW0037327,"VARGAS, BERNARDINO","FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1612,NINO'S MARKET,ACTIVE,PR0018068
DAOU4JWJ5,2017-09-25T00:00:00.000,MESA BRAZILIAN EATERY,93,A,1,ROUTINE INSPECTION,EE0001048,10917 LINDBROOK DR,LOS ANGELES,FA0157916,CA,90024,OW0123035,BLISS MFG INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,MESA BRAZILIAN EATERY,ACTIVE,PR0146014
DA7GXKEJ8,2015-10-19T00:00:00.000,ARCELIA MARKET,94,A,1,ROUTINE INSPECTION,EE0000707,1002 E VERNON AVE,LOS ANGELES,FA0057644,CA,90011,OW0011220,ESCAMILLA REMEDIOS AIDS,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,ARCELIA MARKET,ACTIVE,PR0046981
DAIPYBZEC,2015-08-12T00:00:00.000,HVM MARKET,97,A,1,ROUTINE INSPECTION,EE0000874,801 W VERNON AVE,LOS ANGELES,FA0028945,CA,90037,OW0035323,TESFALDET MENGIS,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,HVM MARKET,ACTIVE,PR0000112
DAIKF9HW2,2016-04-04T00:00:00.000,BAR HAYAMA,90,A,1,ROUTINE INSPECTION,EE0000375,11300 NEBRASKA AVE,LOS ANGELES,FA0008180,CA,90025,OW0003908,BAR HAYAMA LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,BAR HAYAMA,ACTIVE,PR0019394
DA22R9RWU,2016-03-30T00:00:00.000,YOUNG KING CHINESE RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000884,3100 W OLYMPIC BLVD,LOS ANGELES,FA0055427,CA,90006,OW0007064,"CHANG'S RESTAURANT ENT, INC",RESTAURANT (61-150) SEATS HIGH RISK,1638,YOUNG KING CHINESE RESTAURANT,ACTIVE,PR0018608
DAVELEUSY,2016-02-24T00:00:00.000,STAPLES CENTER (LEVY),97,A,1,ROUTINE INSPECTION,EE0000633,1111 S FIGUEROA ST,LOS ANGELES,FA0006427,CA,90015,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,STAND 301,ACTIVE,PR0047727
DAY9HCYRH,2017-04-25T00:00:00.000,STAPLES CENTER (LEVY),83,B,1,ROUTINE INSPECTION,EE0000633,1111 S FIGUEROA ST,LOS ANGELES,FA0006427,CA,90015,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,RESTAURANT (151 + ) SEATS HIGH RISK,1641,PREMIUM MAIN KITCHEN,ACTIVE,PR0019171
DA0765187,2017-01-26T00:00:00.000,SUPERIOR GROCERS #113,93,A,1,ROUTINE INSPECTION,EE0000557,3600 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0049848,CA,90063,OW0034460,"SUPER CENTER CONCEPTS, INC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,SUPERIOR GROCERS #113 BAKERY,ACTIVE,PR0017651
DAGO0FBGU,2015-12-16T00:00:00.000,BORDER GRILL DOWNTOWN LA,96,A,1,ROUTINE INSPECTION,EE0000721,445 S FIGUEROA ST STE 100,LOS ANGELES,FA0006101,CA,90071,OW0008284,CIUDAD LA LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,BORDER GRILL DOWNTOWN LA,ACTIVE,PR0017347
DAJ6TUEYV,2016-01-05T00:00:00.000,VONS MARKET #2100,95,A,1,ROUTINE INSPECTION,EE0000727,9860 NATIONAL BLVD,LOS ANGELES,FA0053921,CA,90034,OW0038181,THE VONS COMPANIES INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,VONS BAKERY,ACTIVE,PR0025670
DA0NCQJZQ,2016-08-25T00:00:00.000,HOLLYWOOD VEGAN,91,A,1,ROUTINE INSPECTION,EE0000846,1769 HILLHURST AVE,LOS ANGELES,FA0028030,CA,90027,OW0002750,"ANGSUTHUMPKIT, SATIT",RESTAURANT (31-60) SEATS HIGH RISK,1635,HOLLYWOOD VEGAN,ACTIVE,PR0001775
DARS0LMVH,2018-05-29T00:00:00.000,LAACO LTD,91,A,1,ROUTINE INSPECTION,EE0000721,431 W 7TH ST,LOS ANGELES,FA0033974,CA,90014,OW0022268,LOS ANGELES ATHLETIC CLUB,RESTAURANT (61-150) SEATS HIGH RISK,1638,MAIN KITCHEN,ACTIVE,PR0024649
DAAKJOKKN,2017-03-22T00:00:00.000,BIONICOS LA PALAPA #3,90,A,1,ROUTINE INSPECTION,EE0000923,5560 N FIGUEROA ST,LOS ANGELES,FA0009802,CA,90042,OW0037171,VALLE CESAR,RESTAURANT (0-30) SEATS MODERATE RISK,1631,BIONICOS LA PALAPA #3,ACTIVE,PR0028961
DAJUX7JXQ,2018-01-04T00:00:00.000,QUE DELICIOUS,97,A,1,ROUTINE INSPECTION,EE0000950,287 S ATLANTIC BLVD #A,LOS ANGELES,FA0042259,CA,90022,OW0101173,QUE DELICIOUS,RESTAURANT (0-30) SEATS MODERATE RISK,1631,QUE DELICIOUS,INACTIVE,PR0021775
DAHATQ9AI,2016-05-19T00:00:00.000,MI POBLANITA,67,C,1,ROUTINE INSPECTION,EE0001025,112 E 58TH ST,LOS ANGELES,FA0040525,CA,90011,OW0024045,"MEDINA-PAZOG, PATRICIA",RESTAURANT (0-30) SEATS HIGH RISK,1632,MI POBLANITA,ACTIVE,PR0002318
DA2JNFRXV,2018-05-15T00:00:00.000,BB HIGHLAND PARK,98,A,1,ROUTINE INSPECTION,EE0000923,5715 N FIGUEROA ST UNIT 100,LOS ANGELES,FA0256550,CA,90042-4201,OW0249231,BB HIGHLAND PARK LLC,RESTAURANT (31-60) SEATS MODERATE RISK,1634,BB HIGHLAND PARK,ACTIVE,PR0206350
DA00QU0CM,2016-08-02T00:00:00.000,DORA AFRICAN PRODUCE,96,A,1,ROUTINE INSPECTION,EE0000723,4564 W WASHINGTON BLVD,LOS ANGELES,FA0166355,CA,90016,OW0129517,"DORA AFRICAN PRODUCE, INC","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,DORA AFRICAN PRODUCE,ACTIVE,PR0156620
DAXQT0DC4,2017-05-25T00:00:00.000,LA CONVENTION CENTER,94,A,1,ROUTINE INSPECTION,EE0000633,1201 S FIGUEROA ST,LOS ANGELES,FA0156500,CA,90015,OW0121804,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (151 + ) SEATS HIGH RISK,1641,LA CONVENTION CENTER MAIN KITCHEN - LACC,ACTIVE,PR0143277
DAT2H813G,2015-07-28T00:00:00.000,SEPI'S GIANT SUBMARINES,90,A,1,ROUTINE INSPECTION,EE0000911,10968 LE CONTE AVE,LOS ANGELES,FA0070284,CA,90024,OW0034304,SUNEDIN CO. LLC,RESTAURANT (31-60) SEATS MODERATE RISK,1634,SEPI'S GIANT SUBMARINES,ACTIVE,PR0036064
DANL7TIJ0,2017-05-04T00:00:00.000,FREDDY SMALLS,90,A,1,ROUTINE INSPECTION,EE0000338,11520 W PICO BLVD,LOS ANGELES,FA0023778,CA,90064,OW0031049,"RYBREAD, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,FREDDY SMALLS,INACTIVE,PR0001923
DAF9EGF1J,2018-02-06T00:00:00.000,FIST OF FUSION,90,A,1,ROUTINE INSPECTION,EE0000835,6801 HOLLYWOOD BLVD # 315B,LOS ANGELES,FA0244368,CA,90028-6143,OW0239578,"FIST OF FUSION RESTAURANTS, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,FIST OF FUSION,ACTIVE,PR0192652
DAQDBZKDT,2018-04-18T00:00:00.000,BIG SAVER FOODS,93,A,1,ROUTINE INSPECTION,EE0000420,5168 S HUNTINGTON DR,LOS ANGELES,FA0171998,CA,90032,OW0036820,UKA'S BIG SAVER FOODS INC,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1612,BIG SAVER FOODS,ACTIVE,PR0164491
DAK9Q67TT,2018-03-08T00:00:00.000,BOYS BURGERS NO.1,90,A,1,ROUTINE INSPECTION,EE0000799,1774 E FLORENCE AVE,LOS ANGELES,FA0225945,CA,90001,OW0230147,"PACIFIC BOYS, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,BOYS BURGERS NO.1,ACTIVE,PR0181264
DA59GHZJ5,2017-04-03T00:00:00.000,DER WIENERSCHNITZEL,94,A,1,ROUTINE INSPECTION,EE0000869,3619 W OLYMPIC BLVD,LOS ANGELES,FA0011068,CA,90019,OW0021286,"LEE, KWANG",RESTAURANT (0-30) SEATS HIGH RISK,1632,DER WIENERSCHNITZEL,INACTIVE,PR0001193
DACD7GSMZ,2017-01-11T00:00:00.000,MCDONALD'S #5760,98,A,1,ROUTINE INSPECTION,EE0000911,10623 VENICE BLVD,LOS ANGELES,FA0066694,CA,90034,OW0023940,MCDONALD'S CORPORATION,RESTAURANT (61-150) SEATS MODERATE RISK,1637,MCDONALDS #5760,ACTIVE,PR0017498
DAJFATNVF,2018-05-03T00:00:00.000,S & J LIQUOR,95,A,1,ROUTINE INSPECTION,EE0000923,925 CYPRESS AVE,LOS ANGELES,FA0031405,CA,90065,OW0027259,"PAEK, HYUNG SHIN","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,S & J LIQUOR,ACTIVE,PR0009410
DAMC5JURM,2015-12-15T00:00:00.000,NODA SUSHI,90,A,1,ROUTINE INSPECTION,EE0000721,818 WILSHIRE BLVD STE #C,LOS ANGELES,FA0041970,CA,90017,OW0033266,SNJ BLUE INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,NODA SUSHI,ACTIVE,PR0021588
DA0BVGUVB,2018-01-09T00:00:00.000,IT'S PHO IN HOLLYWOOD,92,A,1,ROUTINE INSPECTION,EE0000709,1821 N CAHUENGA BLVD,LOS ANGELES,FA0030548,CA,90028,OW0017160,"IT'S THAI CANTEEN, LLC",RESTAURANT (31-60) SEATS HIGH RISK,1635,IT'S PHO IN HOLLYWOOD,ACTIVE,PR0028671
DAUW6IHU0,2017-01-30T00:00:00.000,TEXIS RESTAURANT,92,A,1,ROUTINE INSPECTION,EE0000884,3087 W PICO BLVD # 4,LOS ANGELES,FA0179950,CA,90006,OW0185424,ANA GLORIA RAMOS VINDEL,RESTAURANT (0-30) SEATS HIGH RISK,1632,TEXIS RESTAURANT,ACTIVE,PR0173639
DAZ0Z0QII,2016-10-06T00:00:00.000,TIP'S HOUSE,96,A,1,ROUTINE INSPECTION,EE0000869,3970 W 6TH ST,LOS ANGELES,FA0072623,CA,90020,OW0017722,"JIRASUPAKORN, KANNIKA",RESTAURANT (31-60) SEATS HIGH RISK,1635,TIP'S HOUSE,ACTIVE,PR0001198
DANGHMJ4R,2016-12-27T00:00:00.000,ATTARI SANDWICHES,94,A,1,ROUTINE INSPECTION,EE0000684,1388 WESTWOOD BLVD STE 103,LOS ANGELES,FA0004430,CA,90024,OW0003336,"ATTARI SANDWICHES, INC",RESTAURANT (31-60) SEATS HIGH RISK,1635,ATTARI SANDWICHES,ACTIVE,PR0001678
DARWKXBR0,2018-03-05T00:00:00.000,CACTUS MEXICAN FOOD,93,A,1,ROUTINE INSPECTION,EE0000828,950 N VINE ST,LOS ANGELES,FA0006820,CA,90038,OW0032892,"SILVA, MARTHA A",RESTAURANT (0-30) SEATS HIGH RISK,1632,CACTUS MEXICAN FOOD,ACTIVE,PR0005583
DAPCNJVJQ,2016-06-15T00:00:00.000,GAMJA BAWI,91,A,1,ROUTINE INSPECTION,EE0000854,928 S WESTERN AVE STE 129,LOS ANGELES,FA0024379,CA,90006,OW0027036,"OUH, MYONG SUN",RESTAURANT (0-30) SEATS HIGH RISK,1632,GAMJA BAWI,ACTIVE,PR0047528
DAVTPSYFB,2016-01-12T00:00:00.000,SUBWAY #44461,99,A,1,ROUTINE INSPECTION,EE0001006,2112 BEVERLY BLVD,LOS ANGELES,FA0034762,CA,90057,OW0005591,C G INVESTMENTS INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,SUBWAY #44461,ACTIVE,PR0028690
DAOF73KU0,2016-06-17T00:00:00.000,PALERMO RESTAURANT,95,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000846,1858 N VERMONT AVE,LOS ANGELES,FA0068158,CA,90027,OW0011581,"FANARA, ANTHONY",RESTAURANT (61-150) SEATS HIGH RISK,1638,PALERMO RESTAURANT,ACTIVE,PR0039639
DAQJKSO0H,2016-12-12T00:00:00.000,EL ATORON,92,A,1,ROUTINE INSPECTION,EE0000366,1285 MAPLE ST,LOS ANGELES,FA0164158,CA,90015,OW0127587,JAVIER MORALES-GALVEZ,RESTAURANT (0-30) SEATS HIGH RISK,1632,EL ATORON,ACTIVE,PR0152432
DARSFCKSO,2016-08-10T00:00:00.000,PANERA BREAD,97,A,1,ROUTINE INSPECTION,EE0001048,1101 WESTWOOD BLVD # 1145,LOS ANGELES,FA0203719,CA,90024,OW0208857,FIRST PICK BREAD COMPANY  X LP,RESTAURANT (31-60) SEATS HIGH RISK,1635,PANERA BREAD,INACTIVE,PR0176121
DAIZTGFV7,2015-08-11T00:00:00.000,SUBWAY,97,A,1,ROUTINE INSPECTION,EE0000727,11733 BARRINGTON CT,LOS ANGELES,FA0071148,CA,90049,OW0011667,"FATAHI, SHOJA",RESTAURANT (0-30) SEATS MODERATE RISK,1631,SUBWAY,ACTIVE,PR0039094
DANVEJHXL,2016-05-18T00:00:00.000,99 CENTS ONLY STORE #125,95,A,1,ROUTINE INSPECTION,EE0000162,6235 YORK BLVD,LOS ANGELES,FA0002483,CA,90042,OW0001414,"99 CENT ONLY STORES, LLC","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,99 CENT ONLY STORES #125,ACTIVE,PR0028058
DALWLWU31,2017-02-17T00:00:00.000,AMIGO'S MARKET,84,B,1,ROUTINE INSPECTION,EE0000557,3405 CITY TERRACE DR,LOS ANGELES,FA0006173,CA,90063,OW0036265,"TORRES, SYLVIA PALENCIA","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",1611,AMIGOS MARKET,ACTIVE,PR0032091
DAX2X406T,2016-09-13T00:00:00.000,SHAKEYS PIZZA PARLOR #1,94,A,1,ROUTINE INSPECTION,EE0000822,7001 SANTA MONICA BLVD,LOS ANGELES,FA0070339,CA,90038,OW0031994,"SCO, LLC SHAKEY'S PIZZA",RESTAURANT (61-150) SEATS HIGH RISK,1638,SHAKEYS PIZZA PARLOR #1,ACTIVE,PR0017786
DAGB09K1M,2016-09-26T00:00:00.000,THE FOUNDATION CENTER,98,A,1,ROUTINE INSPECTION,EE0000224,11633 S WESTERN AVE,LOS ANGELES,FA0165629,CA,90047,OW0128872,"NOAH'S DWELLING, LLC",RESTAURANT (151 + ) SEATS HIGH RISK,1641,THE FOUNDATION CENTER,ACTIVE,PR0153961
DAZHE70N6,2017-11-17T00:00:00.000,STEVIE'S CREOLE CAFE,94,A,1,ROUTINE INSPECTION,EE0000723,5545 W PICO BLVD,LOS ANGELES,FA0241434,CA,90019,OW0237336,"SLR RESTAURANT, LLC",RESTAURANT (0-30) SEATS HIGH RISK,1632,STEVIE'S CREOLE CAFE,ACTIVE,PR0189545
DA5G2G9YL,2017-06-07T00:00:00.000,KOKIO RESTAURANT,95,A,1,ROUTINE INSPECTION,EE0000869,3977 W 6TH ST,LOS ANGELES,FA0224583,CA,90020,OW0229039,KOKIO ASSOCIATED INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,KOKIO RESTAURANT,ACTIVE,PR0179827
DADJRS6I6,2015-11-09T00:00:00.000,EL VALLE OAXAQUENO RESTAURAN,95,A,1,ROUTINE INSPECTION,EE0000798,2318 W JEFFERSON BLVD,LOS ANGELES,FA0021625,CA,90018,OW0010907,EL VALLE OAXAQUENO INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,EL VALLE OAXAQUENO BAKERY,ACTIVE,PR0007150
DAZQFT23V,2018-06-07T00:00:00.000,LE BLANC CAFE,97,A,1,ROUTINE INSPECTION,EE0000740,2834 N BROADWAY,LOS ANGELES,FA0034552,CA,90031,OW0031959,"SCHLIMBACH, GLADYS",RESTAURANT (31-60) SEATS MODERATE RISK,1634,LE BLANC CAFE,ACTIVE,PR0030589
